pais,valor
Angola,35
Bolivia,85
Brazil,51.000
Burundi,176
Ecuador,624
Indonesia,10.902
Madagascar,407
Malawi,12
Papua New Guinea,734
Paraguay,20
Peru,4.280
Rwanda,245
Timor-Leste,73
Zimbabwe,6
Congo Rep. of,3
Cuba,100
Dominican Republic,400
Haiti,340
Philippines,200
Tanzania,750
Zambia,12
Benin,0
Cameroon,375
Central African Republic,50
Colombia,14.000
Congo Dem. Rep. of,335
Costa Rica,1.560
Côte d'Ivoire,1.300
El Salvador,740
Equatorial Guinea,0
Ethiopia,7.650
Gabon,1
Ghana,16
Guatemala,3.800
Guinea,215
Guyana,10
Honduras,8.349
India,5.840
Jamaica,17
Kenya,790
Lao People's Dem. Rep. of,475
Liberia,12
Mexico,4.000
Nepal,2
Nicaragua,2.500
Nigeria,42
Panama,106
Sierra Leone,43
Sri Lanka,37
Thailand,500
Togo,55
Trinidad & Tobago,12
Uganda,5.100
Venezuela,550
Vietnam,29.500
Yemen,175